student_id,academic_level,preferred_location,study_mode,intensity,budget_min,budget_max,language,ielts,toefl,sat,broad_categories_interest,detailed_categories_interest
134,undergraduate,"Lebanon, Spain","online, oncampus",part-time,3000,11000,English,,,,"Humanities & Languages, Education","Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage; Education, Teaching & Curriculum Studies; Educational Leadership, Special Education & Instruction"
135,undergraduate,"Lebanon, Spain","online, oncampus",part-time,3000,9000,English,,,1100,"Humanities & Languages, Education","Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage; Education, Teaching & Curriculum Studies; Educational Leadership, Special Education & Instruction"
136,high_school,Spain,online,full-time,2000,10500,English,4.6,74,1080,Law & Governance,"Law, Legal Studies & Justice"
137,high_school,Spain,oncampus,full-time,1500,9500,English,5.1,79,1030,Law & Governance,"Law, Legal Studies & Justice"
138,undergraduate,Lebanon,oncampus,full-time,5500,10500,English,,98,950,Humanities & Languages,"Literature, History, Philosophy & Religious Studies"
139,undergraduate,Lebanon,oncampus,full-time,5000,9500,English,6,98,950,Humanities & Languages,"Literature, History, Philosophy & Religious Studies"
140,high_school,United States,oncampus,full-time,33500,75500,Arabic,6.6,94,1000,Education,"Educational Leadership, Special Education & Instruction; Education, Teaching & Curriculum Studies"
141,high_school,United States,oncampus,full-time,35000,71000,Arabic,6.6,99,1000,Education,"Educational Leadership, Special Education & Instruction; Education, Teaching & Curriculum Studies"
142,high_school,United States,online,part-time,0,10500,English,5.8,100,1450,Engineering,"Materials, Mechatronics & General Engineering; Civil, Structural & Construction Engineering"
143,high_school,"USA, Canada",online,part-time,0,8000,English,5.8,110,1380,Engineering,"Materials, Mechatronics & General Engineering; Civil, Structural & Construction Engineering"
144,high_school,Germany,oncampus,full-time,0,2000,English,6.5,,1400,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Computer Science, Software & Information Systems"
145,high_school,"Germany, Spain",oncampus,full-time,0,3000,English,,,,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Computer Science, Software & Information Systems"
146,undergraduate,Canada,oncampus,full-time,8000,32000,French,6,102,,Life Sciences,"Biological Sciences, Genetics & Molecular Biology"
147,undergraduate,Canada,oncampus,full-time,8500,30000,French,6,102,1250,Life Sciences,"Biological Sciences, Genetics & Molecular Biology"
148,undergraduate,Spain,online,full-time,1500,3500,French,,99,,Psychology & Behavioral Sciences,"Cognitive Science & Behavioral Science; Psychology, Counseling & Mental Health"
149,undergraduate,Spain,online,full-time,2000,4500,French,,104,,Psychology & Behavioral Sciences,"Cognitive Science & Behavioral Science; Psychology, Counseling & Mental Health"
150,undergraduate,Spain,oncampus,full-time,2000,10500,German,8,72,1300,Business & Management,"Business Administration, Management & Entrepreneurship"
151,undergraduate,Spain,oncampus,full-time,2000,10500,German,8,72,950,Business & Management,"Business Administration, Management & Entrepreneurship"
152,undergraduate,Canada,oncampus,full-time,8000,29000,English,,104,,Life Sciences,"Neuroscience, Microbiology & Life Science Research; Biotechnology, Biomedical Sciences & Bioinformatics"
153,undergraduate,United States,oncampus,full-time,6000,21500,English,,114,1350,Life Sciences,"Neuroscience, Microbiology & Life Science Research; Biotechnology, Biomedical Sciences & Bioinformatics"
154,high_school,Spain,oncampus,full-time,1000,3500,English,6,115,1100,Psychology & Behavioral Sciences,"Cognitive Science & Behavioral Science; Psychology, Counseling & Mental Health"
155,high_school,Canada,oncampus,full-time,1000,4000,English,,,1100,Psychology & Behavioral Sciences,"Cognitive Science & Behavioral Science; Psychology, Counseling & Mental Health"
156,high_school,"Canada, USA",oncampus,full-time,0,2000,French,4.5,,,Education,"Education, Teaching & Curriculum Studies"
157,high_school,"United States, Germany",oncampus,full-time,0,2000,French,,,1050,Education,"Education, Teaching & Curriculum Studies"
158,undergraduate,"Canada, United States",oncampus,full-time,13000,41500,English,5,98,1400,Sports & Events,"Sports Science, Exercise Science & Athletic Performance; Event Management, Recreation & Leisure Studies"
159,undergraduate,"Canada, United States",oncampus,full-time,15000,44000,English,,115,1300,Sports & Events,"Sports Science, Exercise Science & Athletic Performance; Event Management, Recreation & Leisure Studies"
160,undergraduate,Germany,oncampus,full-time,0,2000,Arabic,,108,,"Arts, Design & Architecture","Fine Arts, Visual Arts & Creative Practice"
161,undergraduate,Spain,oncampus,part-time,0,2000,Arabic,7.5,115,,"Arts, Design & Architecture","Fine Arts, Visual Arts & Creative Practice"
162,undergraduate,"Canada, United States",oncampus,full-time,40000,48000,German,5.7,,,Health & Medicine,"Pharmacy, Pharmacology & Pharmaceutical Sciences; Medicine, Dentistry & Clinical Medicine; Allied Health, Physiotherapy & Rehabilitation"
163,undergraduate,United States,oncampus,full-time,59000,86500,German,6.2,95,,Health & Medicine,"Pharmacy, Pharmacology & Pharmaceutical Sciences; Medicine, Dentistry & Clinical Medicine; Allied Health, Physiotherapy & Rehabilitation"
164,undergraduate,Spain,oncampus,full-time,2000,8500,Spanish,6.6,110,,Engineering,"Civil, Structural & Construction Engineering"
165,undergraduate,Spain,oncampus,full-time,3000,14000,Spanish,6.1,,,Engineering,"Civil, Structural & Construction Engineering"
166,high_school,"Germany, Spain",hybrid,part-time,0,7500,English,,94,,Psychology & Behavioral Sciences,Cognitive Science & Behavioral Science
167,high_school,"Lebanon, Germany",hybrid,full-time,0,8000,English,,94,1400,Psychology & Behavioral Sciences,Cognitive Science & Behavioral Science
168,undergraduate,United States,oncampus,part-time,35000,101000,English,7,,,Computing & Technology,"Computer Science, Software & Information Systems"
169,undergraduate,United States,oncampus,part-time,32000,83500,English,,,,Computing & Technology,"Computer Science, Software & Information Systems"
170,high_school,United States,oncampus,full-time,0,2000,English,8,90,,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
171,high_school,"Canada, Germany",oncampus,full-time,0,2500,English,,,1300,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
172,high_school,"Spain, United States",hybrid,full-time,1500,12000,Arabic,6.8,105,1000,Natural & Physical Sciences,Chemistry & Chemical Sciences
173,high_school,"Spain, United States",oncampus,full-time,1500,16000,Arabic,6.3,,1350,Natural & Physical Sciences,Chemistry & Chemical Sciences
174,undergraduate,"Lebanon, Germany",oncampus,full-time,2000,11000,Arabic,5.5,105,1350,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Cultural Studies, Area Studies & Heritage"
175,undergraduate,United States,oncampus,full-time,2500,11000,Arabic,5.5,,1300,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Cultural Studies, Area Studies & Heritage"
176,high_school,"Spain, Canada",hybrid,part-time,2000,10500,Spanish,6,98,1250,"Transport, Aviation & Maritime","Aviation, Aeronautics & Aerospace Transport"
177,high_school,Germany,hybrid,part-time,2000,9500,Spanish,5.5,88,1400,"Transport, Aviation & Maritime","Aviation, Aeronautics & Aerospace Transport"
178,high_school,"Lebanon, Canada",hybrid,full-time,5500,18000,English,,,1450,Humanities & Languages,"Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
179,high_school,"Lebanon, Canada",hybrid,full-time,5000,16000,English,,,,Humanities & Languages,"Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
180,undergraduate,"Canada, United States",hybrid,part-time,11000,31500,Spanish,5.6,92,1000,Education,"Educational Leadership, Special Education & Instruction; Education, Teaching & Curriculum Studies"
181,undergraduate,"Canada, United States",hybrid,part-time,8000,23000,Spanish,5.1,92,,Education,"Educational Leadership, Special Education & Instruction; Education, Teaching & Curriculum Studies"
182,high_school,United States,oncampus,full-time,0,32000,Arabic,7,90,1420,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech"
183,high_school,Lebanon,oncampus,part-time,0,42000,Arabic,,,1270,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech"
184,undergraduate,Spain,oncampus,full-time,0,2500,Arabic,,115,1300,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Computer Science, Software & Information Systems"
185,undergraduate,"Spain, Canada",oncampus,full-time,0,2000,Arabic,7.5,,1250,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Computer Science, Software & Information Systems"
186,high_school,Germany,online,full-time,0,2500,English,,86,1400,Media & Communication,"Film, Digital Media, Advertising & Content Production; Media, Communication, Journalism & Public Relations"
187,high_school,Germany,online,full-time,0,3000,English,,86,,Media & Communication,"Film, Digital Media, Advertising & Content Production; Media, Communication, Journalism & Public Relations"
188,high_school,United States,"online, oncampus",part-time,35000,77000,English,,84,,Natural & Physical Sciences,"Physics, Astronomy & Space Science"
189,high_school,Lebanon,oncampus,part-time,35000,77000,English,7,84,1150,Natural & Physical Sciences,"Physics, Astronomy & Space Science"
190,undergraduate,Canada,oncampus,full-time,11500,42000,English,6.3,,,Law & Governance,"Law, Legal Studies & Justice; Governance, Public Policy & International Law"
191,undergraduate,Canada,oncampus,full-time,11500,38000,English,5.8,,1100,Law & Governance,"Law, Legal Studies & Justice; Governance, Public Policy & International Law"
192,undergraduate,"United States, Canada",oncampus,part-time,27500,121000,English,,93,1350,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
193,undergraduate,"United States, Canada",oncampus,part-time,18500,75000,English,7,83,,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
194,undergraduate,Germany,oncampus,full-time,3000,10000,English,7.8,105,950,Life Sciences,"Neuroscience, Microbiology & Life Science Research"
195,undergraduate,"Spain, Canada",oncampus,full-time,2000,7000,English,7.3,115,1050,Life Sciences,"Neuroscience, Microbiology & Life Science Research"
196,undergraduate,United States,online,full-time,1500,6500,English,7,77,1100,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
197,undergraduate,"Spain, Lebanon",online,full-time,1500,5000,English,6.5,72,1000,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
198,undergraduate,United States,online,full-time,31000,88500,English,7,109,,Engineering,"Materials, Mechatronics & General Engineering; Mechanical, Manufacturing & Industrial Engineering; Computer Engineering, Embedded Systems & Robotics"
199,undergraduate,United States,online,full-time,25000,72500,English,,109,,Engineering,"Materials, Mechatronics & General Engineering; Mechanical, Manufacturing & Industrial Engineering; Computer Engineering, Embedded Systems & Robotics"
200,high_school,"USA, Canada",oncampus,full-time,4000,16500,German,6.4,75,1200,Education,"Education, Teaching & Curriculum Studies; Educational Leadership, Special Education & Instruction"
201,high_school,"Canada, USA",oncampus,part-time,3000,16000,German,6.9,110,,Education,"Education, Teaching & Curriculum Studies; Educational Leadership, Special Education & Instruction"
202,high_school,Germany,oncampus,full-time,0,2500,English,5.2,84,1450,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
203,high_school,Germany,online,full-time,0,2000,English,4.7,79,1450,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
204,undergraduate,"Lebanon, United States",hybrid,part-time,6500,21000,English,,115,,Health & Medicine,"Public Health, Nutrition & Health Management; Nursing, Midwifery & Patient Care; Medicine, Dentistry & Clinical Medicine"
205,undergraduate,"Canada, United States",hybrid,part-time,4500,15500,English,,115,,Health & Medicine,"Public Health, Nutrition & Health Management; Nursing, Midwifery & Patient Care; Medicine, Dentistry & Clinical Medicine"
206,undergraduate,Germany,oncampus,full-time,0,2000,French,7,86,1050,Media & Communication,"Film, Digital Media, Advertising & Content Production; Media, Communication, Journalism & Public Relations"
207,undergraduate,Lebanon,oncampus,full-time,0,2500,French,5.5,96,,Media & Communication,"Film, Digital Media, Advertising & Content Production; Media, Communication, Journalism & Public Relations"
208,undergraduate,Canada,oncampus,full-time,7000,34000,Spanish,7.6,75,,Life Sciences,"Biological Sciences, Genetics & Molecular Biology; Biotechnology, Biomedical Sciences & Bioinformatics"
209,undergraduate,Canada,oncampus,full-time,7000,34000,Spanish,7.6,80,1350,Life Sciences,"Biological Sciences, Genetics & Molecular Biology; Biotechnology, Biomedical Sciences & Bioinformatics"
210,high_school,United States,oncampus,full-time,41000,70500,Arabic,7.2,98,1030,Humanities & Languages,"Cultural Studies, Area Studies & Heritage; Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies"
211,high_school,United States,oncampus,full-time,47000,99500,Arabic,6.7,98,1030,Humanities & Languages,"Cultural Studies, Area Studies & Heritage; Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies"
212,undergraduate,"USA, Canada",oncampus,full-time,1500,11000,English,7.9,96,1350,Humanities & Languages,"Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage; Languages, Linguistics, Translation & Applied Languages"
213,undergraduate,"United States, Spain",oncampus,full-time,1500,11000,English,7.4,96,,Humanities & Languages,"Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage; Languages, Linguistics, Translation & Applied Languages"
214,high_school,Canada,oncampus,full-time,0,1500,English,7.3,,1150,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
215,high_school,"Spain, Lebanon",oncampus,full-time,0,2000,English,7.3,105,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
216,undergraduate,United States,online,full-time,2000,9000,German,5.4,115,1250,Data Science & Artificial Intelligence,"Business Analytics, Decision Science & Intelligent Systems"
217,undergraduate,"United States, Lebanon",online,full-time,3000,14500,German,6.4,100,,Data Science & Artificial Intelligence,"Business Analytics, Decision Science & Intelligent Systems"
218,undergraduate,"Germany, Canada",oncampus,full-time,0,8000,German,5,78,1400,Life Sciences,"Biotechnology, Biomedical Sciences & Bioinformatics; Biological Sciences, Genetics & Molecular Biology"
219,undergraduate,"Germany, Canada",oncampus,full-time,0,11500,German,,83,,Life Sciences,"Biotechnology, Biomedical Sciences & Bioinformatics; Biological Sciences, Genetics & Molecular Biology"
220,undergraduate,USA,oncampus,full-time,6000,9000,Spanish,7,85,1050,Media & Communication,"Film, Digital Media, Advertising & Content Production"
221,undergraduate,Spain,online,full-time,5000,6500,Spanish,8,,,Media & Communication,"Film, Digital Media, Advertising & Content Production"
222,undergraduate,"United States, Spain",oncampus,full-time,2500,10500,French,,100,1000,Hospitality & Tourism,"Hospitality, Tourism, Travel & Hotel Management"
223,undergraduate,"United States, Spain",oncampus,full-time,2000,10000,French,5,110,1200,Hospitality & Tourism,"Hospitality, Tourism, Travel & Hotel Management"
224,undergraduate,Canada,oncampus,full-time,9500,23000,English,6.7,,,Health & Medicine,"Nursing, Midwifery & Patient Care; Medicine, Dentistry & Clinical Medicine"
225,undergraduate,Canada,oncampus,full-time,12000,28500,English,6.7,,,Health & Medicine,"Nursing, Midwifery & Patient Care; Medicine, Dentistry & Clinical Medicine"
226,undergraduate,Canada,oncampus,full-time,11000,49000,French,5.5,110,,Computing & Technology,"Computer Science, Software & Information Systems; Cybersecurity, Networks & Cloud Computing"
227,undergraduate,Canada,oncampus,full-time,11500,62500,French,7,,1450,Computing & Technology,"Computer Science, Software & Information Systems; Cybersecurity, Networks & Cloud Computing"
228,high_school,Lebanon,oncampus,full-time,7500,67000,English,5.5,85,,Humanities & Languages,"Literature, History, Philosophy & Religious Studies; Languages, Linguistics, Translation & Applied Languages"
229,high_school,"United States, Lebanon",oncampus,full-time,6000,59000,English,,105,,Humanities & Languages,"Literature, History, Philosophy & Religious Studies; Languages, Linguistics, Translation & Applied Languages"
230,undergraduate,United States,oncampus,full-time,46500,51000,English,,89,,Health & Medicine,"Pharmacy, Pharmacology & Pharmaceutical Sciences; Nursing, Midwifery & Patient Care"
231,undergraduate,United States,oncampus,full-time,39500,48000,English,5.5,84,,Health & Medicine,"Pharmacy, Pharmacology & Pharmaceutical Sciences; Nursing, Midwifery & Patient Care"
232,high_school,Canada,oncampus,full-time,8000,27500,Arabic,7.9,,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
233,high_school,Germany,oncampus,full-time,11000,34000,Arabic,7.9,110,1200,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
234,undergraduate,United States,oncampus,full-time,0,3000,English,,90,1300,Engineering,"Mechanical, Manufacturing & Industrial Engineering; Electrical, Electronic & Communications Engineering"
235,undergraduate,Germany,oncampus,full-time,0,2000,English,,,,Engineering,"Mechanical, Manufacturing & Industrial Engineering; Electrical, Electronic & Communications Engineering"
236,undergraduate,Spain,oncampus,full-time,1000,3500,French,8,104,,Natural & Physical Sciences,"Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Mathematics, Statistics & Actuarial Science"
237,undergraduate,Spain,oncampus,full-time,1000,3500,French,,114,1250,Natural & Physical Sciences,"Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Mathematics, Statistics & Actuarial Science"
238,high_school,"Lebanon, Germany",hybrid,full-time,0,9500,English,7.5,79,1000,Health & Medicine,"Nursing, Midwifery & Patient Care; Pharmacy, Pharmacology & Pharmaceutical Sciences; Medicine, Dentistry & Clinical Medicine"
239,high_school,Lebanon,hybrid,full-time,0,11000,English,,84,,Health & Medicine,"Nursing, Midwifery & Patient Care; Pharmacy, Pharmacology & Pharmaceutical Sciences; Medicine, Dentistry & Clinical Medicine"
240,undergraduate,Lebanon,oncampus,full-time,5500,14000,English,,,1100,Humanities & Languages,"Cultural Studies, Area Studies & Heritage; Languages, Linguistics, Translation & Applied Languages"
241,undergraduate,Lebanon,oncampus,full-time,4500,11500,English,,80,1250,Humanities & Languages,"Cultural Studies, Area Studies & Heritage; Languages, Linguistics, Translation & Applied Languages"
242,high_school,Germany,oncampus,part-time,0,3000,Arabic,6,88,950,Life Sciences,"Neuroscience, Microbiology & Life Science Research; Biological Sciences, Genetics & Molecular Biology"
243,high_school,"United States, Canada",oncampus,part-time,0,2500,Arabic,4.5,93,1250,Life Sciences,"Neuroscience, Microbiology & Life Science Research; Biological Sciences, Genetics & Molecular Biology"
244,undergraduate,Canada,hybrid,full-time,8500,29000,German,7.7,,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
245,undergraduate,"Spain, Canada",hybrid,full-time,10500,36000,German,8,,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
246,high_school,Lebanon,online,full-time,6000,14000,Arabic,6,100,1150,Engineering,"Chemical, Process & Petroleum Engineering; Mechanical, Manufacturing & Industrial Engineering"
247,high_school,Lebanon,hybrid,full-time,6000,14500,Arabic,,100,,Engineering,"Chemical, Process & Petroleum Engineering; Mechanical, Manufacturing & Industrial Engineering"
248,undergraduate,"Spain, Lebanon",oncampus,full-time,0,35000,English,6.5,102,1050,Law & Governance,"Governance, Public Policy & International Law; Law, Legal Studies & Justice"
249,undergraduate,"United States, Germany",oncampus,full-time,0,45500,English,6.5,102,1400,Law & Governance,"Governance, Public Policy & International Law; Law, Legal Studies & Justice"
250,undergraduate,"USA, Canada",oncampus,part-time,8500,37000,Arabic,7.6,110,950,Law & Governance,"Governance, Public Policy & International Law; Law, Legal Studies & Justice"
251,undergraduate,Canada,oncampus,part-time,12000,47000,Arabic,7.1,105,1450,Law & Governance,"Governance, Public Policy & International Law; Law, Legal Studies & Justice"
252,undergraduate,Lebanon,online,full-time,8500,39500,German,6,,1250,Health & Medicine,"Medicine, Dentistry & Clinical Medicine"
253,undergraduate,"Canada, United States",online,full-time,11000,50000,German,5,,,Health & Medicine,"Medicine, Dentistry & Clinical Medicine"
254,undergraduate,Spain,online,full-time,500,8000,English,6.7,,1150,Health & Medicine,"Public Health, Nutrition & Health Management"
255,undergraduate,Germany,oncampus,full-time,500,9500,English,6.2,80,,Health & Medicine,"Public Health, Nutrition & Health Management"
